iter	Passed	Remaining
172	935	4471
173	941	4467
174	947	4468
175	952	4460
176	957	4453
177	963	4450
178	969	4444
179	974	4439
180	979	4433
181	984	4423
182	989	4417
183	994	4409
184	1001	4411
185	1008	4411
186	1013	4405
187	1019	4401
188	1026	4404
189	1031	4398
190	1037	4393
191	1041	4384
192	1046	4376
193	1051	4370
194	1056	4362
195	1062	4357
196	1067	4350
197	1072	4342
198	1077	4335
199	1082	4329
200	1087	4323
201	1093	4318
202	1098	4313
203	1103	4306
204	1108	4298
205	1114	4294
206	1119	4287
207	1124	4280
208	1128	4272
209	1134	4266
210	1138	4258
211	1143	4250
212	1149	4246
213	1154	4239
214	1158	4231
215	1163	4224
216	1168	4216
217	1173	4208
218	1178	4201
219	1183	4195
220	1188	4189
221	1194	4185
222	1199	4179
223	1204	4173
224	1209	4166
225	1214	4158
226	1219	4153
227	1224	4146
228	1230	4142
229	1235	4135
230	1240	4128
231	1245	4122
232	1250	4117
233	1255	4110
234	1260	4104
235	1265	4097
236	1270	4090
237	1275	4084
238	1280	4077
239	1286	4073
240	1291	4067
241	1296	4061
242	1301	4053
243	1306	4046
244	1311	4040
245	1316	4033
246	1320	4025
247	1325	4019
248	1330	4012
249	1334	4004
250	1339	3997
251	1344	3991
252	1349	3984
253	1354	3977
254	1359	3971
255	1364	3964
256	1369	3958
257	1374	3952
258	1378	3945
259	1384	3939
260	1389	3933
261	1394	3928
262	1398	3920
263	1403	3913
264	1408	3906
265	1413	3900
266	1418	3895
267	1423	3889
268	1429	3883
269	1433	3876
270	1438	3870
271	1445	3868
272	1450	3862
273	1455	3855
274	1460	3849
275	1464	3842
276	1470	3837
277	1475	3831
278	1479	3824
279	1485	3820
280	1490	3814
281	1495	3807
282	1500	3802
283	1505	3796
284	1511	3791
285	1515	3782
286	1517	3770
287	1521	3761
288	1523	3748
289	1525	3734
290	1527	3720
291	1529	3707
292	1531	3694
293	1532	3680
294	1534	3666
295	1535	3652
296	1536	3637
297	1538	3623
298	1540	3610
299	1541	3596
300	1542	3582
301	1543	3568
302	1545	3554
303	1546	3540
304	1547	3525
305	1548	3511
306	1549	3497
307	1550	3483
308	1551	3469
309	1552	3454
310	1553	3441
311	1554	3428
312	1555	3414
313	1556	3400
314	1557	3387
315	1558	3373
316	1559	3360
317	1561	3347
318	1561	3334
319	1562	3320
320	1563	3307
321	1564	3294
322	1565	3281
323	1566	3268
324	1567	3256
325	1568	3243
326	1569	3230
327	1570	3217
328	1571	3205
329	1572	3192
330	1573	3179
331	1574	3167
332	1575	3155
333	1576	3142
334	1577	3130
335	1578	3118
336	1579	3106
337	1579	3094
338	1580	3082
339	1581	3070
340	1582	3058
341	1583	3047
342	1584	3035
343	1585	3023
344	1586	3012
345	1587	3000
346	1588	2989
347	1589	2978
348	1590	2967
349	1591	2955
350	1592	2944
351	1593	2933
352	1594	2922
353	1595	2910
354	1595	2899
355	1596	2888
356	1597	2877
357	1598	2867
358	1599	2856
359	1600	2845
360	1601	2835
361	1602	2824
362	1603	2814
363	1606	2807
364	1612	2804
365	1617	2801
366	1623	2799
367	1628	2796
368	1633	2792
369	1638	2789
370	1643	2785
371	1648	2782
372	1653	2779
373	1658	2776
374	1664	2773
375	1669	2770
376	1674	2767
377	1680	2764
378	1685	2761
379	1689	2757
380	1696	2755
381	1701	2753
382	1707	2749
383	1711	2746
384	1716	2742
385	1721	2739
386	1726	2735
387	1731	2731
388	1736	2727
389	1741	2724
390	1746	2720
391	1751	2716
392	1756	2712
393	1761	2708
394	1766	2705
395	1770	2701
396	1776	2698
397	1781	2694
398	1786	2690
399	1791	2687
400	1796	2683
401	1802	2680
402	1807	2678
403	1812	2674
404	1817	2670
405	1821	2665
406	1826	2661
407	1830	2656
408	1835	2652
409	1840	2648
410	1847	2647
411	1852	2644
412	1857	2640
413	1863	2637
414	1867	2633
415	1872	2629
416	1878	2626
417	1882	2621
418	1886	2616
419	1891	2612
420	1897	2609
421	1902	2605
422	1908	2602
423	1913	2599
424	1919	2596
425	1924	2593
426	1929	2589
427	1935	2586
428	1941	2583
429	1945	2579
430	1950	2575
431	1955	2571
432	1960	2567
433	1966	2565
434	1971	2560
435	1976	2557
436	1982	2553
437	1987	2549
438	1992	2545
439	1997	2542
440	2004	2540
441	2008	2536
442	2014	2532
443	2019	2529
444	2024	2524
445	2029	2520
446	2034	2517
447	2039	2513
448	2044	2509
449	2049	2504
450	2054	2500
451	2061	2499
452	2066	2495
453	2071	2491
454	2076	2487
455	2081	2483
456	2086	2479
457	2092	2476
458	2097	2471
459	2102	2468
460	2107	2464
461	2112	2460
462	2118	2457
463	2123	2452
464	2128	2448
465	2133	2444
466	2138	2440
467	2143	2436
468	2147	2431
469	2152	2427
470	2156	2422
471	2161	2418
472	2166	2413
473	2169	2408
474	2173	2402
475	2179	2399
476	2184	2395
477	2189	2390
478	2194	2387
479	2199	2382
480	2203	2378
481	2208	2373
482	2214	2369
483	2218	2365
484	2223	2361
485	2228	2357
486	2233	2352
487	2239	2349
488	2244	2345
489	2248	2340
490	2255	2337
491	2260	2334
492	2264	2329
493	2271	2326
494	2275	2321
495	2279	2316
496	2285	2312
497	2289	2308
498	2295	2304
499	2301	2301
500	2305	2296
501	2310	2292
502	2315	2288
503	2319	2283
504	2323	2277
505	2330	2275
506	2335	2270
507	2341	2267
508	2348	2265
509	2353	2260
510	2360	2258
511	2365	2254
512	2370	2250
513	2375	2245
514	2379	2241
515	2385	2237
516	2390	2232
517	2394	2228
518	2400	2224
519	2405	2220
520	2410	2216
521	2415	2211
522	2419	2207
523	2424	2202
524	2429	2198
525	2434	2194
526	2439	2189
527	2443	2184
528	2448	2180
529	2453	2176
530	2458	2171
531	2463	2167
532	2468	2162
533	2472	2157
534	2476	2152
535	2482	2149
536	2487	2144
537	2491	2139
538	2497	2135
539	2501	2131
540	2506	2126
541	2510	2121
542	2512	2114
543	2515	2108
544	2519	2103
545	2521	2096
546	2524	2090
547	2525	2083
548	2527	2076
549	2529	2069
550	2531	2062
551	2532	2055
552	2534	2048
553	2535	2041
554	2537	2034
555	2538	2027
556	2539	2019
557	2540	2012
558	2541	2005
559	2543	1998
560	2544	1991
561	2545	1983
562	2546	1976
563	2547	1969
564	2548	1962
565	2550	1955
566	2551	1948
567	2552	1941
568	2553	1934
569	2554	1926
570	2555	1919
571	2556	1912
572	2557	1905
573	2558	1898
574	2560	1892
575	2561	1885
576	2562	1878
577	2563	1871
578	2566	1865
579	2567	1859
580	2568	1852
581	2569	1845
582	2570	1838
583	2571	1831
584	2572	1824
585	2573	1818
586	2574	1811
587	2575	1804
588	2576	1797
589	2577	1790
590	2578	1784
591	2579	1777
592	2581	1772
593	2583	1765
594	2584	1759
595	2585	1752
596	2586	1746
597	2587	1739
598	2588	1733
599	2590	1726
600	2591	1720
601	2592	1713
602	2593	1707
603	2594	1700
604	2595	1694
605	2596	1688
606	2597	1681
607	2598	1675
608	2599	1668
609	2599	1662
610	2600	1655
611	2601	1649
612	2602	1643
613	2603	1636
614	2604	1630
615	2605	1624
616	2606	1618
617	2607	1611
618	2608	1605
619	2609	1599
620	2610	1593
621	2611	1587
622	2612	1581
623	2613	1574
624	2614	1568
625	2615	1562
626	2616	1556
627	2617	1550
628	2618	1544
629	2619	1538
630	2620	1532
631	2621	1526
632	2622	1520
633	2623	1514
634	2623	1508
635	2624	1502
636	2625	1496
637	2626	1490
638	2627	1484
639	2628	1478
640	2629	1472
641	2630	1466
642	2631	1461
643	2632	1455
644	2633	1449
645	2634	1443
646	2635	1437
647	2636	1432
648	2637	1426
649	2638	1420
650	2639	1414
651	2640	1409
652	2641	1403
653	2642	1398
654	2643	1392
655	2644	1386
656	2645	1381
657	2646	1375
658	2647	1369
659	2648	1364
660	2649	1358
661	2649	1353
662	2650	1347
663	2651	1341
664	2652	1336
665	2653	1330
666	2655	1325
667	2656	1320
668	2657	1314
669	2658	1309
670	2659	1303
671	2660	1298
672	2661	1293
673	2662	1287
674	2663	1282
675	2664	1277
676	2665	1271
677	2666	1266
678	2667	1261
679	2668	1255
680	2669	1250
681	2670	1245
682	2671	1240
683	2672	1234
684	2673	1229
685	2674	1224
686	2675	1218
687	2676	1213
688	2677	1208
689	2678	1203
690	2679	1198
691	2680	1192
692	2681	1187
693	2682	1182
694	2683	1177
695	2684	1172
696	2685	1167
697	2686	1162
698	2687	1157
699	2688	1152
700	2689	1147
701	2690	1142
702	2691	1136
703	2692	1131
704	2693	1126
705	2694	1121
706	2694	1116
707	2696	1111
708	2696	1106
709	2697	1101
710	2699	1097
711	2699	1092
712	2700	1087
713	2701	1082
714	2702	1077
715	2703	1072
716	2704	1067
717	2705	1062
718	2706	1057
719	2707	1053
720	2708	1048
721	2709	1043
722	2710	1038
723	2711	1033
724	2712	1028
725	2713	1024
726	2714	1019
727	2715	1014
728	2716	1009
729	2718	1005
730	2719	1000
731	2720	995
732	2721	991
733	2722	986
734	2723	981
735	2724	977
736	2725	972
737	2726	967
738	2727	963
739	2729	958
740	2730	954
741	2731	949
742	2732	945
743	2733	940
744	2734	935
745	2735	931
746	2736	926
747	2737	922
748	2737	917
749	2738	912
750	2739	908
751	2740	903
752	2741	899
753	2742	894
754	2743	890
755	2744	885
756	2745	881
757	2747	877
758	2748	872
759	2749	868
760	2750	863
761	2750	859
762	2752	854
763	2753	850
764	2753	845
765	2755	841
766	2755	837
767	2756	832
768	2758	828
769	2759	824
770	2760	819
771	2761	815
772	2762	811
773	2763	807
774	2764	802
775	2765	798
776	2766	794
777	2767	789
778	2768	785
779	2769	781
780	2770	776
781	2771	772
782	2772	768
783	2773	764
784	2774	759
785	2775	755
786	2776	751
787	2777	747
788	2778	743
789	2779	738
790	2780	734
791	2781	730
792	2782	726
793	2783	722
794	2784	718
795	2785	713
796	2786	709
797	2787	705
798	2788	701
799	2789	697
800	2790	693
801	2791	689
802	2796	686
803	2801	682
804	2806	679
805	2811	676
806	2816	673
807	2820	670
808	2825	667
809	2830	663
810	2837	661
811	2847	659
812	2852	656
813	2860	653
814	2865	650
815	2870	647
816	2875	644
817	2881	641
818	2886	637
819	2891	634
820	2897	631
821	2902	628
822	2907	625
823	2913	622
824	2918	619
825	2923	615
826	2929	612
827	2934	609
828	2940	606
829	2946	603
830	2951	600
831	2957	597
832	2962	593
833	2966	590
834	2973	587
835	2981	584
836	2989	582
837	2995	579
838	3001	575
839	3007	572
840	3012	569
841	3017	566
842	3022	562
843	3027	559
844	3032	556
845	3037	552
846	3042	549
847	3047	546
848	3052	542
849	3058	539
850	3064	536
851	3069	533
852	3075	529
853	3082	526
854	3089	523
855	3095	520
856	3101	517
857	3107	514
858	3113	511
859	3120	508
860	3126	504
861	3131	501
862	3135	497
863	3140	494
864	3144	490
865	3149	487
866	3154	483
867	3159	480
868	3164	477
869	3177	474
870	3185	471
871	3195	469
872	3201	465
873	3209	462
874	3217	459
875	3223	456
876	3234	453
877	3241	450
878	3247	447
879	3252	443
880	3259	440
881	3268	437
882	3273	433
883	3280	430
884	3285	426
885	3290	423
886	3300	420
887	3305	416
888	3311	413
889	3317	409
890	3322	406
891	3329	403
892	3335	399
893	3340	396
894	3345	392
895	3351	388
896	3356	385
897	3360	381
898	3365	378
899	3370	374
900	3375	370
901	3379	367
902	3384	363
903	3390	360
904	3395	356
905	3401	352
906	3407	349
907	3413	345
908	3419	342
909	3424	338
910	3429	335
911	3435	331
912	3441	327
913	3446	324
914	3451	320
915	3456	316
916	3460	313
917	3468	309
918	3476	306
919	3483	302
920	3489	299
921	3494	295
922	3499	291
923	3504	288
924	3509	284
925	3514	280
926	3527	277
927	3537	274
928	3543	270
929	3549	267
930	3559	263
931	3568	260
932	3573	256
933	3579	252
934	3587	249
935	3594	245
936	3600	242
937	3606	238
938	3612	234
939	3616	230
940	3621	227
941	3627	223
942	3632	219
943	3639	215
944	3646	212
945	3651	208
946	3655	204
947	3660	200
948	3665	197
949	3670	193
950	3675	189
951	3680	185
952	3685	181
953	3691	177
954	3696	174
955	3701	170
956	3705	166
957	3708	162
958	3711	158
959	3713	154
960	3715	150
961	3717	146
962	3719	142
963	3721	138
964	3722	135
965	3724	131
966	3726	127
967	3727	123
968	3728	119
969	3730	115
970	3731	111
971	3732	107
972	3734	103
973	3735	99
974	3736	95
975	3738	91
976	3739	88
977	3740	84
978	3741	80
979	3742	76
980	3744	72
981	3745	68
982	3746	64
983	3747	60
984	3748	57
985	3749	53
986	3750	49
987	3751	45
988	3752	41
989	3753	37
990	3753	34
991	3754	30
992	3755	26
993	3756	22
994	3757	18
995	3758	15
996	3759	11
997	3760	7
998	3761	3
999	3762	0
